"PL_Effect_Size_lnRktoall_0.01","PL_Effect_Size_Type1_lnRktoall_0.01","PL_Effect_Size_Type2_lnRktoall_0.01","PL_Effect_Size_lnRkto0_0.01","PL_Effect_Size_Type1_lnRkto0_0.01","PL_Effect_Size_Type2_lnRkto0_0.01","PL_Effect_Size_lnRktoall_0.05","PL_Effect_Size_Type1_lnRktoall_0.05","PL_Effect_Size_Type2_lnRktoall_0.05","PL_Effect_Size_lnRkto0_0.05","PL_Effect_Size_Type1_lnRkto0_0.05","PL_Effect_Size_Type2_lnRkto0_0.05","PL_Effect_Size_lnRktoall_0.1","PL_Effect_Size_Type1_lnRktoall_0.1","PL_Effect_Size_Type2_lnRktoall_0.1","PL_Effect_Size_lnRkto0_0.1","PL_Effect_Size_Type1_lnRkto0_0.1","PL_Effect_Size_Type2_lnRkto0_0.1","PL_Effect_Size_lnRktoall_0.5","PL_Effect_Size_Type1_lnRktoall_0.5","PL_Effect_Size_Type2_lnRktoall_0.5","PL_Effect_Size_lnRkto0_0.5","PL_Effect_Size_Type1_lnRkto0_0.5","PL_Effect_Size_Type2_lnRkto0_0.5","PL_Effect_Size_lnR","PL_Effect_Size_Type1_lnR","PL_Effect_Size_Type2_lnR","PL_Effect_Size_hedgesD","PL_Effect_Size_Type1_hedgesD","PL_Effect_Size_Type2_hedgesD","unique_number"
-0.0137933221323359,"FS","Sup",-0.0139862419747399,"FS","Sup",-0.0130720815673528,"FS","Sup",-0.0139862419747399,"FS","Sup",-0.0122700925918144,"FS","Sup",-0.0139862419747399,"FS","Sup",-0.00823049913651547,"FS","Sup",-0.0139862419747399,"FS","Sup",-0.0139862419747399,"FS","Sup",-0.116602429226845,"FS","Sup","36"
2.19722457733622,"FS","Sup",2.4567357728213,"FS","Sup",1.6094379124341,"FS","Sup",2.4567357728213,"FS","Sup",1.24171313230878,"FS","Sup",2.4567357728213,"FS","Sup",0.472359342938195,"FS","Sup",2.4567357728213,"FS","Sup",2.4567357728213,"FS","Sup",21.5873556812341,"FS","Sup","38"
1.46633706879343,"FS","Sup",1.6094379124341,"FS","Sup",1.09861228866811,"FS","Sup",1.6094379124341,"FS","Sup",0.847297860387203,"FS","Sup",1.6094379124341,"FS","Sup",0.31015492830384,"FS","Sup",1.6094379124341,"FS","Sup",1.6094379124341,"FS","Sup",9.99541549751495,"FS","Sup","39"
2.81341071676004,"FS","Sup",3.19867311755068,"FS","Sup",2.04307389750896,"FS","Sup",3.19867311755068,"FS","Sup",1.59263079411772,"FS","Sup",3.19867311755068,"FS","Sup",0.643876131553162,"FS","Sup",3.19867311755068,"FS","Sup",3.19867311755068,"FS","Sup",21.0073961858419,"FS","Sup","40"
0.773189888233482,"FS","Sup",0.8754687373539,"FS","Sup",0.53062825106217,"FS","Sup",0.8754687373539,"FS","Sup",0.382992252256106,"FS","Sup",0.8754687373539,"FS","Sup",0.119801199812621,"FS","Sup",0.8754687373539,"FS","Sup",0.8754687373539,"FS","Sup",3.5452477809605,"FS","Sup","41"
1.94591014905531,"FS","Sup",2.30258509299405,"FS","Sup",1.27296567581289,"FS","Sup",2.30258509299405,"FS","Sup",0.916290731874155,"FS","Sup",2.30258509299405,"FS","Sup",0.297251523467931,"FS","Sup",2.30258509299405,"FS","Sup",2.30258509299405,"FS","Sup",9.5498043616059,"FS","Sup","42"
-1.6094379124341,"FS","Sup",-1.6094379124341,"FS","Sup",-0.587786664902119,"FS","Sup",-0.587786664902119,"FS","Sup",-0.336472236621213,"FS","Sup",-0.336472236621213,"FS","Sup",-0.0769610411361283,"FS","Sup",-0.0769610411361283,"FS","Sup",NA,NA,NA,-5.15179580994503,"FS","Sup","43"
-0.0342073153227664,"SPFR","Bagout",-0.0342179573103416,"SPFR","Bagout",-0.0341648134910755,"SPFR","Bagout",-0.0342179573103416,"SPFR","Bagout",-0.0341118345068634,"SPFR","Bagout",-0.0342179573103416,"SPFR","Bagout",-0.0336938457864728,"SPFR","Bagout",-0.0342179573103416,"SPFR","Bagout",-0.0342179573103416,"SPFR","Bagout",6.63874586072921,"FS","Bagout","44"
0.175992421742307,"SPFL","Sup",0.176502973861099,"SPFL","Sup",0.173979485476559,"SPFL","Sup",0.176502973861099,"SPFL","Sup",0.171527311663074,"SPFL","Sup",0.176502973861099,"SPFL","Sup",0.154150679827258,"SPFL","Sup",0.176502973861099,"SPFL","Sup",0.176502973861099,"SPFL","Sup",2.57419049765969,"FS","Sup","48"
0.0128206884290614,"SPFL","Sup",0.0129034048359079,"SPFL","Sup",0.0125001627642315,"SPFL","Sup",0.0129034048359079,"SPFL","Sup",0.0121213605323449,"SPFL","Sup",0.0129034048359079,"SPFL","Sup",0.00975617494536474,"SPFL","Sup",0.0129034048359079,"SPFL","Sup",0.0129034048359079,"SPFL","Sup",NA,NA,NA,"49"
